Unnamed: 0,Team,Batter,Dismissal,Runs,Balls,4s,6s,SR,match_id,is_plate,dismissal_type,batting_position
0,RLYS,Suraj Ahuja,b Arjun Sharma,30,42,4,0,71.43,RLYSvsSER,False,bowled,1
1,RLYS,Ansh Yadav,lbw b Poonia,13,32,2,0,40.62,RLYSvsSER,False,lbw,2
2,RLYS,Pratham Singh,c Irfan Ali b Pulkit Narang,73,81,6,1,90.12,RLYSvsSER,False,caught,3
3,RLYS,Upendra Yadav (wk),lbw b Pulkit Narang,38,48,3,0,79.17,RLYSvsSER,False,lbw,4
4,RLYS,Ravi Singh,c Sagar Dahiya b Poonia,88,46,6,7,191.3,RLYSvsSER,False,caught,5
5,RLYS,Ashutosh Sharma,c R Paliwal b Nitin Yadav,50,24,2,5,208.33,RLYSvsSER,False,caught,6
6,RLYS,Zubair Ali,not out,48,22,4,4,218.18,RLYSvsSER,False,not out,7
7,RLYS,Karn Sharma (c),c Arjun Sharma b Mohit Jangra,6,4,1,0,150.0,RLYSvsSER,False,caught,8
8,RLYS,Raj Choudhary,not out,4,3,0,0,133.33,RLYSvsSER,False,not out,9
9,SER,Sagar Dahiya,b Raj Choudhary,95,125,8,1,76.0,RLYSvsSER,False,bowled,1
10,SER,Ravi Chauhan,c Ansh Yadav b Raj Choudhary,73,58,11,1,125.86,RLYSvsSER,False,caught,2
11,SER,Mohit Ahlawat,c Ashutosh Sharma b Raj Choudhary,12,21,0,0,57.14,RLYSvsSER,False,caught,3
12,SER,Rajat Paliwal (c),c Ansh Yadav b Rahul Sharma,6,6,1,0,100.0,RLYSvsSER,False,caught,4
13,SER,Irfan Ali,b Karn Sharma,0,1,0,0,0.0,RLYSvsSER,False,bowled,5
14,SER,Nakul Sharma (wk),c (sub)Kush Marathe b Ansh Yadav,13,15,1,1,86.67,RLYSvsSER,False,caught,6
15,SER,Arjun Sharma,c Karn Sharma b Adarsh Singh,33,28,3,1,117.86,RLYSvsSER,False,caught,7
16,SER,Pulkit Narang,c Ravi Singh b Zubair Ali,6,12,0,0,50.0,RLYSvsSER,False,caught,8
17,SER,Mohit Jangra,c Ashutosh Sharma b Zubair Ali,15,12,1,1,125.0,RLYSvsSER,False,caught,9
18,SER,Poonam Poonia,c Adarsh Singh b Ansh Yadav,12,5,1,1,240.0,RLYSvsSER,False,caught,10
19,SER,Nitin Yadav,not out,0,2,0,0,0.0,RLYSvsSER,False,not out,11
0,SAUR,Harvik Desai (c & wk),c Yara Sandeep b K S Narasimha Raju,61,81,7,0,75.31,SAURvsAP,False,caught,1
1,SAUR,Vishvaraj Jadeja,b Satyanarayana Raju,3,8,0,0,37.5,SAURvsAP,False,bowled,2
2,SAUR,Hetvik Kotak,c Ricky Bhui b Satyanarayana Raju,7,12,1,0,58.33,SAURvsAP,False,caught,3
3,SAUR,Sammar Gajjar,c Srikar Bharat b Satyanarayana Raju,0,4,0,0,0.0,SAURvsAP,False,caught,4
4,SAUR,Prerak Mankad,b Jagarlapudi Ram,13,29,1,0,44.83,SAURvsAP,False,bowled,5
5,SAUR,Chirag Jani,c Singupuram Prasad b Nitish Reddy,69,96,4,1,71.88,SAURvsAP,False,caught,6
6,SAUR,Ruchit Ahir,c Satyanarayana Raju b K S Narasimha Raju,76,54,7,2,140.74,SAURvsAP,False,caught,7
